authid;authtypecode;main_heading;alt_heading;uri
1;GEOGR_NAME;"Venice (Italy)";Venedig|Venezia;http://www.wikidata.org/entity/Q641
7;GEOGR_NAME;Indonesia;;http://www.wikidata.org/entity/Q252
10;GEOGR_NAME;"The Hague (Netherlands)";"Den Haag|Aia, L'|Aja, L'|Gaaga|Gravenhage, 's-|Gravenhaghe|Graven-Haghe|Haag|Haga Comitis|Haya, La";http://www.wikidata.org/entity/Q36600
13;GEOGR_NAME;"Trier (Germany)";;http://www.wikidata.org/entity/Q3138
21;GEOGR_NAME;"Naples (Italy)";Napels|Napoli|Neapolis;http://www.wikidata.org/entity/Q2634
22;GEOGR_NAME;Italy;Italie|Italië|Italien;http://www.wikidata.org/entity/Q38
34;GEOGR_NAME;"Polar region";;http://www.wikidata.org/entity/Q60670
37;GEOGR_NAME;"Brussels (Belgium)";Brussel|Brüssel|Bruxelles|Bruxella|Bruxellæ;http://www.wikidata.org/entity/Q239
43;GEOGR_NAME;USA;"États-Unis|United States|United States of America|USA|Vereinigte Staaten|Verenigde Staten|Verenigde Staten van Amerika|VS";http://www.wikidata.org/entity/Q30
45;GEOGR_NAME;"Leipzig (Germany)";Lipsia;http://www.wikidata.org/entity/Q2079
47;GEOGR_NAME;"Dresden (Germany)";Dresda|Dresde;http://www.wikidata.org/entity/Q1731
48;GEOGR_NAME;"Berlin (Germany)";Berlijn|Berlino;http://www.wikidata.org/entity/Q64
49;GEOGR_NAME;"Rome (Italy)";Rom|Roma;http://www.wikidata.org/entity/Q220
50;GEOGR_NAME;"Brunswick (Germany)";Braunschweig|Löwenstadt;http://www.wikidata.org/entity/Q2773
53;GEOGR_NAME;"Harlem (New York City, USA)";;http://www.wikidata.org/entity/Q189074
55;GEOGR_NAME;"Saxony (Germany)";"Freistaat Sachsen|Sachsen|Saxe";http://www.wikidata.org/entity/Q1202
59;GEOGR_NAME;"New York City (USA)";"New York|NYC";http://www.wikidata.org/entity/Q60
62;GEOGR_NAME;"Rotterdam (Netherlands)";"R'dam|Roffa|Mokum Reisj|Rotjeknor|Rotjeknar|Roterodamum";http://www.wikidata.org/entity/Q34370
68;GEOGR_NAME;Egypt;"Ägypten|Egypte|Égypte|مصر";http://www.wikidata.org/entity/Q79
71;GEOGR_NAME;"Holy Roman Empire";;http://www.wikidata.org/entity/Q12548
